id,department,intent,language,question,answer,source,tags
217,City Mayor's Office - PESO,cmo_job_recommendation,tl,Paano makakuha ng recommendation letter sa Mayor para sa trabaho?,"Maaaring humingi ng **Recommendation / Endorsement Letter** para sa trabaho mula sa CMO o PESO.

---
### 💼 Proseso

**Steps:**
1. Ihanda ang Resume/Bio-data at cover letter kung saan nais mag-apply.
2. Isumite ito sa Public Employment Service Office (PESO) o sa CMO.
3. Ipoproseso ng opisina ang endorsement letter na pirmado ng Mayor.
4. Kunin ang rekomendasyon na nakaselyo.

💰 **Bayad:** Libre.
⏱️ **Processing Time:** Tinatayang 15 hanggang 30 minuto.",Citizen Charter (Part 2),"job, recommendation"
218,City Mayor's Office - PESO,cmo_job_recommendation,tl,Endorsement sa trabaho galing sa mayor,"Maaaring humingi ng **Recommendation / Endorsement Letter** para sa trabaho mula sa CMO o PESO.

---
### 💼 Proseso

**Steps:**
1. Ihanda ang Resume/Bio-data at cover letter kung saan nais mag-apply.
2. Isumite ito sa Public Employment Service Office (PESO) o sa CMO.
3. Ipoproseso ng opisina ang endorsement letter na pirmado ng Mayor.
4. Kunin ang rekomendasyon na nakaselyo.

💰 **Bayad:** Libre.
⏱️ **Processing Time:** Tinatayang 15 hanggang 30 minuto.",Citizen Charter (Part 2),"job, recommendation"
219,City Mayor's Office - PESO,cmo_job_recommendation,bis,Unsaon pagkuha og recommendation sa Mayor para sa trabaho?,"Ang mga nangita og trabaho pwede mangayo og **Recommendation / Endorsement Letter** gikan sa CMO o PESO.

---
### 💼 Proseso

**Steps:**
1. Iandam ang imong Resume/Bio-data ug cover letter para sa kumpanya nga imong aplayan.
2. Isumite ni sa Public Employment Service Office (PESO) o sa CMO.
3. Buhaton sa opisina ang endorsement letter nga pinirmahan sa Mayor.
4. Kuhaa ang imong recommendation letter.

💰 **Bayad:** Libre / Walay bayad.
⏱️ **Processing Time:** Mga 15 hantod 30 minutos.",Citizen Charter (Part 2),"job, recommendation"
220,City Mayor's Office - PESO,cmo_job_recommendation,bis,Mangayo ko endorsement para sa applayan nako,"Ang mga nangita og trabaho pwede mangayo og **Recommendation / Endorsement Letter** gikan sa CMO o PESO.

---
### 💼 Proseso

**Steps:**
1. Iandam ang imong Resume/Bio-data ug cover letter para sa kumpanya nga imong aplayan.
2. Isumite ni sa Public Employment Service Office (PESO) o sa CMO.
3. Buhaton sa opisina ang endorsement letter nga pinirmahan sa Mayor.
4. Kuhaa ang imong recommendation letter.

💰 **Bayad:** Libre / Walay bayad.
⏱️ **Processing Time:** Mga 15 hantod 30 minutos.",Citizen Charter (Part 2),"job, recommendation"
221,City Mayor's Office - PESO,cmo_job_recommendation,bis,Recommendation letter proseso,"Ang mga nangita og trabaho pwede mangayo og **Recommendation / Endorsement Letter** gikan sa CMO o PESO.

---
### 💼 Proseso

**Steps:**
1. Iandam ang imong Resume/Bio-data ug cover letter para sa kumpanya nga imong aplayan.
2. Isumite ni sa Public Employment Service Office (PESO) o sa CMO.
3. Buhaton sa opisina ang endorsement letter nga pinirmahan sa Mayor.
4. Kuhaa ang imong recommendation letter.

💰 **Bayad:** Libre / Walay bayad.
⏱️ **Processing Time:** Mga 15 hantod 30 minutos.",Citizen Charter (Part 2),"job, recommendation"
222,City Mayor's Office,cmo_financial_assistance,en,How to ask for medical assistance from the Mayor?,"Citizens in crisis can apply for **Medical or Financial Assistance (AICS)** from the City Mayor's Office.

---
### ❤️ Assistance Process

**Steps:**
1. Prepare the requirements (e.g., Medical Abstract, Hospital Bill, Barangay Certificate of Indigency, Valid ID).
2. Submit documents to the CMO Assistance Desk or City Social Welfare and Development Office (CSWDO) for evaluation.
3. Wait for the social worker's interview and assessment.
4. Once approved, the releasing of funds or Guarantee Letter will be scheduled.

💰 **Cost:** Free.
⏱️ **Processing Time:** Evaluation takes 1-2 hours; release of funds varies.",Citizen Charter (Part 2),"financial, assistance"
223,City Mayor's Office,cmo_financial_assistance,en,Financial assistance requirements,"Citizens in crisis can apply for **Medical or Financial Assistance (AICS)** from the City Mayor's Office.

---
### ❤️ Assistance Process

**Steps:**
1. Prepare the requirements (e.g., Medical Abstract, Hospital Bill, Barangay Certificate of Indigency, Valid ID).
2. Submit documents to the CMO Assistance Desk or City Social Welfare and Development Office (CSWDO) for evaluation.
3. Wait for the social worker's interview and assessment.
4. Once approved, the releasing of funds or Guarantee Letter will be scheduled.

💰 **Cost:** Free.
⏱️ **Processing Time:** Evaluation takes 1-2 hours; release of funds varies.",Citizen Charter (Part 2),"financial, assistance"
224,City Mayor's Office,cmo_financial_assistance,en,Process for hospital bill assistance,"Citizens in crisis can apply for **Medical or Financial Assistance (AICS)** from the City Mayor's Office.

---
### ❤️ Assistance Process

**Steps:**
1. Prepare the requirements (e.g., Medical Abstract, Hospital Bill, Barangay Certificate of Indigency, Valid ID).
2. Submit documents to the CMO Assistance Desk or City Social Welfare and Development Office (CSWDO) for evaluation.
3. Wait for the social worker's interview and assessment.
4. Once approved, the releasing of funds or Guarantee Letter will be scheduled.

💰 **Cost:** Free.
⏱️ **Processing Time:** Evaluation takes 1-2 hours; release of funds varies.",Citizen Charter (Part 2),"financial, assistance"
225,City Mayor's Office,cmo_financial_assistance,tl,Paano humingi ng tulong pinansyal sa Mayor?,"Ang mga nangangailangan ay maaaring humingi ng **Medical o Financial Assistance** mula sa opisina ng Mayor.

---
### ❤️ Proseso ng Tulong Pinansyal

**Steps:**
1. Ihanda ang requirements (Medical Abstract, Reseta, Hospital Bill, Barangay Certificate of Indigency, Valid ID).
2. Isumite ito sa CMO Assistance Desk o CSWDO para sa evaluation.
3. Hintayin ang interview ng social worker.
4. Kapag naaprubahan, bibigyan ka ng Guarantee Letter o i-schedule ang pag-release ng pera.

💰 **Bayad:** Libre.
⏱️ **Processing Time:** Evaluation ay 1-2 oras; ang pag-release ay nakadepende.",Citizen Charter (Part 2),"financial, assistance"
226,City Mayor's Office,cmo_financial_assistance,tl,Requirements para sa medical assistance,"Ang mga nangangailangan ay maaaring humingi ng **Medical o Financial Assistance** mula sa opisina ng Mayor.

---
### ❤️ Proseso ng Tulong Pinansyal

**Steps:**
1. Ihanda ang requirements (Medical Abstract, Reseta, Hospital Bill, Barangay Certificate of Indigency, Valid ID).
2. Isumite ito sa CMO Assistance Desk o CSWDO para sa evaluation.
3. Hintayin ang interview ng social worker.
4. Kapag naaprubahan, bibigyan ka ng Guarantee Letter o i-schedule ang pag-release ng pera.

💰 **Bayad:** Libre.
⏱️ **Processing Time:** Evaluation ay 1-2 oras; ang pag-release ay nakadepende.",Citizen Charter (Part 2),"financial, assistance"
227,City Mayor's Office,cmo_financial_assistance,bis,Unsaon pagpangayo og tabang pinansyal sa Mayor?,"Ang mga nanginahanglan pwede mangayo og **Medical o Financial Assistance** gikan sa opisina sa Mayor.

---
### ❤️ Proseso sa Pagkuha og Tabang

**Steps:**
1. Iandam ang requirements (Medical Abstract, Reseta, Hospital Bill, Barangay Certificate of Indigency, Valid ID).
2. Isumite ni sa CMO Assistance Desk o CSWDO aron ma-evaluate.
3. Hulata ang interview sa social worker.
4. Kung ma-aprubahan, hatagan ka og Guarantee Letter o i-schedule ang paghatag sa kwarta.

💰 **Bayad:** Libre.
⏱️ **Processing Time:** 1-2 ka oras ang evaluation; ang pag-release kay magdepende.",Citizen Charter (Part 2),"financial, assistance"
228,City Mayor's Office,cmo_financial_assistance,bis,Unsay requirements sa medical assistance?,"Ang mga nanginahanglan pwede mangayo og **Medical o Financial Assistance** gikan sa opisina sa Mayor.

---
### ❤️ Proseso sa Pagkuha og Tabang

**Steps:**
1. Iandam ang requirements (Medical Abstract, Reseta, Hospital Bill, Barangay Certificate of Indigency, Valid ID).
2. Isumite ni sa CMO Assistance Desk o CSWDO aron ma-evaluate.
3. Hulata ang interview sa social worker.
4. Kung ma-aprubahan, hatagan ka og Guarantee Letter o i-schedule ang paghatag sa kwarta.

💰 **Bayad:** Libre.
⏱️ **Processing Time:** 1-2 ka oras ang evaluation; ang pag-release kay magdepende.",Citizen Charter (Part 2),"financial, assistance"
229,City Mayor's Office,cmo_financial_assistance,bis,Tabang para sa bayranan sa ospital,"Ang mga nanginahanglan pwede mangayo og **Medical o Financial Assistance** gikan sa opisina sa Mayor.

---
### ❤️ Proseso sa Pagkuha og Tabang

**Steps:**
1. Iandam ang requirements (Medical Abstract, Reseta, Hospital Bill, Barangay Certificate of Indigency, Valid ID).
2. Isumite ni sa CMO Assistance Desk o CSWDO aron ma-evaluate.
3. Hulata ang interview sa social worker.
4. Kung ma-aprubahan, hatagan ka og Guarantee Letter o i-schedule ang paghatag sa kwarta.

💰 **Bayad:** Libre.
⏱️ **Processing Time:** 1-2 ka oras ang evaluation; ang pag-release kay magdepende.",Citizen Charter (Part 2),"financial, assistance"
230,City Mayor's Office,cmo_scholarship,en,How to apply for Mayor's scholarship?,"Students can apply for the **City Educational Scholarship Program**.

---
### 🎓 Scholarship Process

**Steps:**
1. Secure an application form from the CMO Scholarship Coordinator.
2. Submit the completed form along with requirements (Report Card / True Copy of Grades, Certificate of Indigency, Voter's ID of parents, 2x2 ID picture).
3. Attend the scheduled screening and interview.
4. Wait for the posting of qualified scholars.

💰 **Cost:** Free.
⏱️ **Processing Time:** Applications are processed within the specific submission period (usually before the semester starts).",Citizen Charter (Part 2),scholarship
231,City Mayor's Office,cmo_scholarship,en,Requirements for educational assistance,"Students can apply for the **City Educational Scholarship Program**.

---
### 🎓 Scholarship Process

**Steps:**
1. Secure an application form from the CMO Scholarship Coordinator.
2. Submit the completed form along with requirements (Report Card / True Copy of Grades, Certificate of Indigency, Voter's ID of parents, 2x2 ID picture).
3. Attend the scheduled screening and interview.
4. Wait for the posting of qualified scholars.

💰 **Cost:** Free.
⏱️ **Processing Time:** Applications are processed within the specific submission period (usually before the semester starts).",Citizen Charter (Part 2),scholarship
232,City Mayor's Office,cmo_scholarship,en,City scholarship application process,"Students can apply for the **City Educational Scholarship Program**.

---
### 🎓 Scholarship Process

**Steps:**
1. Secure an application form from the CMO Scholarship Coordinator.
2. Submit the completed form along with requirements (Report Card / True Copy of Grades, Certificate of Indigency, Voter's ID of parents, 2x2 ID picture).
3. Attend the scheduled screening and interview.
4. Wait for the posting of qualified scholars.

💰 **Cost:** Free.
⏱️ **Processing Time:** Applications are processed within the specific submission period (usually before the semester starts).",Citizen Charter (Part 2),scholarship
233,City Mayor's Office,cmo_scholarship,tl,Paano mag-apply ng scholarship sa Mayor?,"Maaaring mag-apply ang mga estudyante para sa **City Educational Scholarship Program**.

---
### 🎓 Proseso ng Scholarship

**Steps:**
1. Kumuha ng application form sa CMO Scholarship Coordinator.
2. Isumite ito kasama ang requirements (Report Card / Grades, Certificate of Indigency, Voter's ID ng magulang, 2x2 picture).
3. Umattend sa naka-schedule na screening at interview.
4. Hintayin ang anunsyo ng mga nakapasang scholars.

💰 **Bayad:** Libre.
⏱️ **Processing Time:** Pinoproseso ito bago magsimula ang semestre.",Citizen Charter (Part 2),scholarship
234,City Mayor's Office,cmo_scholarship,tl,Ano kailangan para sa educational assistance?,"Maaaring mag-apply ang mga estudyante para sa **City Educational Scholarship Program**.

---
### 🎓 Proseso ng Scholarship

**Steps:**
1. Kumuha ng application form sa CMO Scholarship Coordinator.
2. Isumite ito kasama ang requirements (Report Card / Grades, Certificate of Indigency, Voter's ID ng magulang, 2x2 picture).
3. Umattend sa naka-schedule na screening at interview.
4. Hintayin ang anunsyo ng mga nakapasang scholars.

💰 **Bayad:** Libre.
⏱️ **Processing Time:** Pinoproseso ito bago magsimula ang semestre.",Citizen Charter (Part 2),scholarship
235,City Mayor's Office,cmo_scholarship,bis,Unsaon pag apply og scholarship sa Mayor?,"Pwede mag-apply ang mga estudyante para sa **City Educational Scholarship Program**.

---
### 🎓 Proseso sa Scholarship

**Steps:**
1. Pagkuha og application form sa CMO Scholarship Coordinator.
2. Isumite ni uban ang requirements (Report Card / Grades, Certificate of Indigency, Voter's ID sa ginikanan, 2x2 picture).
3. Mu-attend sa screening ug interview.
4. Hulata ang anunsyo sa mga nakapasar nga scholars.

💰 **Bayad:** Libre.
⏱️ **Processing Time:** Ginaproseso ni sa wala pa mag-start ang semester.",Citizen Charter (Part 2),scholarship
236,City Mayor's Office,cmo_scholarship,bis,Unsay requirements sa scholarship?,"Pwede mag-apply ang mga estudyante para sa **City Educational Scholarship Program**.

---
### 🎓 Proseso sa Scholarship

**Steps:**
1. Pagkuha og application form sa CMO Scholarship Coordinator.
2. Isumite ni uban ang requirements (Report Card / Grades, Certificate of Indigency, Voter's ID sa ginikanan, 2x2 picture).
3. Mu-attend sa screening ug interview.
4. Hulata ang anunsyo sa mga nakapasar nga scholars.

💰 **Bayad:** Libre.
⏱️ **Processing Time:** Ginaproseso ni sa wala pa mag-start ang semester.",Citizen Charter (Part 2),scholarship
237,City Mayor's Office,cmo_scholarship,bis,Gusto ko mo apply sa educational assistance,"Pwede mag-apply ang mga estudyante para sa **City Educational Scholarship Program**.

---
### 🎓 Proseso sa Scholarship

**Steps:**
1. Pagkuha og application form sa CMO Scholarship Coordinator.
2. Isumite ni uban ang requirements (Report Card / Grades, Certificate of Indigency, Voter's ID sa ginikanan, 2x2 picture).
3. Mu-attend sa screening ug interview.
4. Hulata ang anunsyo sa mga nakapasar nga scholars.

💰 **Bayad:** Libre.
⏱️ **Processing Time:** Ginaproseso ni sa wala pa mag-start ang semester.",Citizen Charter (Part 2),scholarship
238,City Mayor's Office - BPLS,cmo_tricycle_dropping,en,How to drop tricycle franchise?,"If a tricycle unit is no longer operational, the owner must apply for **Dropping of Franchise**.

---
### 📉 Dropping Process

**Steps:**
1. Surrender the Original MTOP Franchise, Tricycle Plate, and submit an Affidavit of Dropping to the BPLS.
2. Secure the Order of Payment.
3. Pay the Dropping Fee at the City Treasurer's Office.
4. Claim the Certification of Dropped Franchise.

💰 **Cost:** Dropping Fee is around ~₱150.00.
⏱️ **Processing Time:** Around 1-2 hours.",Citizen Charter (Part 2),"tricycle, dropping"
239,City Mayor's Office - BPLS,cmo_tricycle_dropping,en,Process for dropping of MTOP,"If a tricycle unit is no longer operational, the owner must apply for **Dropping of Franchise**.

---
### 📉 Dropping Process

**Steps:**
1. Surrender the Original MTOP Franchise, Tricycle Plate, and submit an Affidavit of Dropping to the BPLS.
2. Secure the Order of Payment.
3. Pay the Dropping Fee at the City Treasurer's Office.
4. Claim the Certification of Dropped Franchise.

💰 **Cost:** Dropping Fee is around ~₱150.00.
⏱️ **Processing Time:** Around 1-2 hours.",Citizen Charter (Part 2),"tricycle, dropping"
240,City Mayor's Office - BPLS,cmo_tricycle_dropping,en,I want to cancel my tricycle franchise,"If a tricycle unit is no longer operational, the owner must apply for **Dropping of Franchise**.

---
### 📉 Dropping Process

**Steps:**
1. Surrender the Original MTOP Franchise, Tricycle Plate, and submit an Affidavit of Dropping to the BPLS.
2. Secure the Order of Payment.
3. Pay the Dropping Fee at the City Treasurer's Office.
4. Claim the Certification of Dropped Franchise.

💰 **Cost:** Dropping Fee is around ~₱150.00.
⏱️ **Processing Time:** Around 1-2 hours.",Citizen Charter (Part 2),"tricycle, dropping"
241,City Mayor's Office - BPLS,cmo_tricycle_dropping,tl,Paano i-drop ang prangkisa ng tricycle?,"Kung hindi na gagamitin ang tricycle, kailangang mag-apply ng **Dropping of Franchise**.

---
### 📉 Proseso ng Dropping

**Steps:**
1. I-surrender ang Original MTOP, Tricycle Plate, at isumite ang Affidavit of Dropping sa BPLS.
2. Kunin ang Order of Payment.
3. Magbayad ng Dropping Fee sa City Treasurer's Office.
4. Kunin ang Certification of Dropped Franchise.

💰 **Bayad:** Dropping Fee ay ~₱150.00.
⏱️ **Processing Time:** Tinatayang 1-2 oras.",Citizen Charter (Part 2),"tricycle, dropping"
242,City Mayor's Office - BPLS,cmo_tricycle_dropping,tl,Requirements para ipasara ang MTOP,"Kung hindi na gagamitin ang tricycle, kailangang mag-apply ng **Dropping of Franchise**.

---
### 📉 Proseso ng Dropping

**Steps:**
1. I-surrender ang Original MTOP, Tricycle Plate, at isumite ang Affidavit of Dropping sa BPLS.
2. Kunin ang Order of Payment.
3. Magbayad ng Dropping Fee sa City Treasurer's Office.
4. Kunin ang Certification of Dropped Franchise.

💰 **Bayad:** Dropping Fee ay ~₱150.00.
⏱️ **Processing Time:** Tinatayang 1-2 oras.",Citizen Charter (Part 2),"tricycle, dropping"
243,City Mayor's Office - BPLS,cmo_tricycle_dropping,bis,Unsaon pag drop sa prangkisa sa tricycle?,"Kung dili na gamiton ang tricycle, kinahanglan mag-apply og **Dropping of Franchise**.

---
### 📉 Proseso sa Dropping

**Steps:**
1. I-surrender ang Original MTOP, Tricycle Plate, ug isumite ang Affidavit of Dropping sa BPLS.
2. Kuhaa ang Order of Payment.
3. Pagbayad sa Dropping Fee sa City Treasurer's Office.
4. Kuhaa ang Certification of Dropped Franchise.

💰 **Bayad:** Dropping Fee kay mga ~₱150.00.
⏱️ **Processing Time:** Mga 1-2 ka oras.",Citizen Charter (Part 2),"tricycle, dropping"
244,City Mayor's Office - BPLS,cmo_tricycle_dropping,bis,Ipasira nako akong franchise sa tricycle,"Kung dili na gamiton ang tricycle, kinahanglan mag-apply og **Dropping of Franchise**.

---
### 📉 Proseso sa Dropping

**Steps:**
1. I-surrender ang Original MTOP, Tricycle Plate, ug isumite ang Affidavit of Dropping sa BPLS.
2. Kuhaa ang Order of Payment.
3. Pagbayad sa Dropping Fee sa City Treasurer's Office.
4. Kuhaa ang Certification of Dropped Franchise.

💰 **Bayad:** Dropping Fee kay mga ~₱150.00.
⏱️ **Processing Time:** Mga 1-2 ka oras.",Citizen Charter (Part 2),"tricycle, dropping"
245,City Mayor's Office - BPLS,cmo_tricycle_dropping,bis,Dropping of MTOP proseso,"Kung dili na gamiton ang tricycle, kinahanglan mag-apply og **Dropping of Franchise**.

---
### 📉 Proseso sa Dropping

**Steps:**
1. I-surrender ang Original MTOP, Tricycle Plate, ug isumite ang Affidavit of Dropping sa BPLS.
2. Kuhaa ang Order of Payment.
3. Pagbayad sa Dropping Fee sa City Treasurer's Office.
4. Kuhaa ang Certification of Dropped Franchise.

💰 **Bayad:** Dropping Fee kay mga ~₱150.00.
⏱️ **Processing Time:** Mga 1-2 ka oras.",Citizen Charter (Part 2),"tricycle, dropping"
246,City Mayor's Office - BPLS,cmo_franchise_renewal,en,How to renew tricycle franchise?,"Tricycle operators must process their **MTOP / Franchise Renewal** annually.

---
### 🔄 Franchise Renewal

**Steps:**
1. Present your Previous MTOP, updated LTO CR/OR, and Barangay Clearance to the BPLS.
2. Have the unit inspected for a Traffic Clearance.
3. Get the Order of Payment and pay the Renewal Fee at the City Treasurer's Office.
4. Present the receipt and claim your renewed MTOP Franchise and Sticker.

💰 **Cost:** Mayor's Permit ~₱100.00, Sticker ~₱75.00.
⏱️ **Processing Time:** Around 2-3 hours.",Citizen Charter (Part 2),"franchise, renewal"
247,City Mayor's Office - BPLS,cmo_franchise_renewal,en,MTOP renewal requirements,"Tricycle operators must process their **MTOP / Franchise Renewal** annually.

---
### 🔄 Franchise Renewal

**Steps:**
1. Present your Previous MTOP, updated LTO CR/OR, and Barangay Clearance to the BPLS.
2. Have the unit inspected for a Traffic Clearance.
3. Get the Order of Payment and pay the Renewal Fee at the City Treasurer's Office.
4. Present the receipt and claim your renewed MTOP Franchise and Sticker.

💰 **Cost:** Mayor's Permit ~₱100.00, Sticker ~₱75.00.
⏱️ **Processing Time:** Around 2-3 hours.",Citizen Charter (Part 2),"franchise, renewal"
248,City Mayor's Office - BPLS,cmo_franchise_renewal,en,Process for renewing my tricycle MTOP,"Tricycle operators must process their **MTOP / Franchise Renewal** annually.

---
### 🔄 Franchise Renewal

**Steps:**
1. Present your Previous MTOP, updated LTO CR/OR, and Barangay Clearance to the BPLS.
2. Have the unit inspected for a Traffic Clearance.
3. Get the Order of Payment and pay the Renewal Fee at the City Treasurer's Office.
4. Present the receipt and claim your renewed MTOP Franchise and Sticker.

💰 **Cost:** Mayor's Permit ~₱100.00, Sticker ~₱75.00.
⏱️ **Processing Time:** Around 2-3 hours.",Citizen Charter (Part 2),"franchise, renewal"
249,City Mayor's Office - BPLS,cmo_franchise_renewal,tl,Paano i-renew ang prangkisa ng tricycle?,"Kailangang i-renew ng mga operators ang kanilang **MTOP / Franchise** taon-taon.

---
### 🔄 Proseso ng Renewal

**Steps:**
1. Ipakita ang Nakaraang MTOP, updated LTO CR/OR, at Barangay Clearance sa BPLS.
2. Ipainspeksyon ang tricycle para sa Traffic Clearance.
3. Kunin ang Order of Payment at magbayad ng Renewal Fee sa City Treasurer's Office.
4. Ipakita ang resibo at kunin ang na-renew na MTOP at Sticker.

💰 **Bayad:** Mayor's Permit ~₱100.00, Sticker ~₱75.00.
⏱️ **Processing Time:** Tinatayang 2-3 oras.",Citizen Charter (Part 2),"franchise, renewal"
250,City Mayor's Office - BPLS,cmo_franchise_renewal,tl,Requirements sa renewal ng MTOP,"Kailangang i-renew ng mga operators ang kanilang **MTOP / Franchise** taon-taon.

---
### 🔄 Proseso ng Renewal

**Steps:**
1. Ipakita ang Nakaraang MTOP, updated LTO CR/OR, at Barangay Clearance sa BPLS.
2. Ipainspeksyon ang tricycle para sa Traffic Clearance.
3. Kunin ang Order of Payment at magbayad ng Renewal Fee sa City Treasurer's Office.
4. Ipakita ang resibo at kunin ang na-renew na MTOP at Sticker.

💰 **Bayad:** Mayor's Permit ~₱100.00, Sticker ~₱75.00.
⏱️ **Processing Time:** Tinatayang 2-3 oras.",Citizen Charter (Part 2),"franchise, renewal"
251,City Mayor's Office - BPLS,cmo_franchise_renewal,bis,Unsaon pag renew sa prangkisa sa tricycle?,"Kinahanglan i-renew sa mga operator ang ilahang **MTOP / Franchise** kada tuig.

---
### 🔄 Proseso sa Renewal

**Steps:**
1. Ipakita ang Nakaagi nga MTOP, updated LTO CR/OR, ug Barangay Clearance sa BPLS.
2. Ipa-inspeksyon ang tricycle para sa Traffic Clearance.
3. Kuhaa ang Order of Payment ug pagbayad sa Renewal Fee sa City Treasurer's Office.
4. Ipakita ang resibo ug kuhaa ang na-renew nga MTOP ug Sticker.

💰 **Bayad:** Mayor's Permit ~₱100.00, Sticker ~₱75.00.
⏱️ **Processing Time:** Mga 2-3 ka oras.",Citizen Charter (Part 2),"franchise, renewal"
252,City Mayor's Office - BPLS,cmo_franchise_renewal,bis,Unsay kailangan sa pag renew sa MTOP?,"Kinahanglan i-renew sa mga operator ang ilahang **MTOP / Franchise** kada tuig.

---
### 🔄 Proseso sa Renewal

**Steps:**
1. Ipakita ang Nakaagi nga MTOP, updated LTO CR/OR, ug Barangay Clearance sa BPLS.
2. Ipa-inspeksyon ang tricycle para sa Traffic Clearance.
3. Kuhaa ang Order of Payment ug pagbayad sa Renewal Fee sa City Treasurer's Office.
4. Ipakita ang resibo ug kuhaa ang na-renew nga MTOP ug Sticker.

💰 **Bayad:** Mayor's Permit ~₱100.00, Sticker ~₱75.00.
⏱️ **Processing Time:** Mga 2-3 ka oras.",Citizen Charter (Part 2),"franchise, renewal"
253,City Mayor's Office - BPLS,cmo_franchise_renewal,bis,Mag renew ko sa akong tricycle,"Kinahanglan i-renew sa mga operator ang ilahang **MTOP / Franchise** kada tuig.

---
### 🔄 Proseso sa Renewal

**Steps:**
1. Ipakita ang Nakaagi nga MTOP, updated LTO CR/OR, ug Barangay Clearance sa BPLS.
2. Ipa-inspeksyon ang tricycle para sa Traffic Clearance.
3. Kuhaa ang Order of Payment ug pagbayad sa Renewal Fee sa City Treasurer's Office.
4. Ipakita ang resibo ug kuhaa ang na-renew nga MTOP ug Sticker.

💰 **Bayad:** Mayor's Permit ~₱100.00, Sticker ~₱75.00.
⏱️ **Processing Time:** Mga 2-3 ka oras.",Citizen Charter (Part 2),"franchise, renewal"
254,City Mayor's Office - BPLS,cmo_special_business_permit,en,How to get a permit for a trade fair?,"Temporary businesses (like carnivals, trade fairs, peryahan, or seasonal stalls) require a **Special Business Permit**.

---
### 🎪 Special Permit Process

**Steps:**
1. Submit a letter of intent to the Mayor specifying the duration and type of business.
2. Secure Barangay Clearance for the specific activity.
3. BPLS will assess the application and issue an Order of Payment.
4. Pay the corresponding fees at the City Treasurer's Office.
5. Claim the Special Business Permit.

💰 **Cost:** Computed per day/week based on the local tax code.
⏱️ **Processing Time:** 1 to 2 days.",Citizen Charter (Part 2),"special, business, permit"
255,City Mayor's Office - BPLS,cmo_special_business_permit,en,Special business permit for peryahan,"Temporary businesses (like carnivals, trade fairs, peryahan, or seasonal stalls) require a **Special Business Permit**.

---
### 🎪 Special Permit Process

**Steps:**
1. Submit a letter of intent to the Mayor specifying the duration and type of business.
2. Secure Barangay Clearance for the specific activity.
3. BPLS will assess the application and issue an Order of Payment.
4. Pay the corresponding fees at the City Treasurer's Office.
5. Claim the Special Business Permit.

💰 **Cost:** Computed per day/week based on the local tax code.
⏱️ **Processing Time:** 1 to 2 days.",Citizen Charter (Part 2),"special, business, permit"
256,City Mayor's Office - BPLS,cmo_special_business_permit,en,Permit for temporary stalls,"Temporary businesses (like carnivals, trade fairs, peryahan, or seasonal stalls) require a **Special Business Permit**.

---
### 🎪 Special Permit Process

**Steps:**
1. Submit a letter of intent to the Mayor specifying the duration and type of business.
2. Secure Barangay Clearance for the specific activity.
3. BPLS will assess the application and issue an Order of Payment.
4. Pay the corresponding fees at the City Treasurer's Office.
5. Claim the Special Business Permit.

💰 **Cost:** Computed per day/week based on the local tax code.
⏱️ **Processing Time:** 1 to 2 days.",Citizen Charter (Part 2),"special, business, permit"
257,City Mayor's Office - BPLS,cmo_special_business_permit,tl,Paano kumuha ng permit para sa peryahan?,"Ang mga panandaliang negosyo (tulad ng peryahan, trade fair, o seasonal stalls) ay nangangailangan ng **Special Business Permit**.

---
### 🎪 Proseso

**Steps:**
1. Isumite ang letter of intent sa Mayor na nagsasaad kung gaano katagal at anong klase ng negosyo.
2. Kumuha ng Barangay Clearance para sa aktibidad.
3. I-aassess ng BPLS at bibigyan ka ng Order of Payment.
4. Magbayad ng fee sa City Treasurer's Office.
5. Kunin ang Special Business Permit.

💰 **Bayad:** Kinukwenta kada araw/linggo base sa tax code.
⏱️ **Processing Time:** 1 hanggang 2 araw.",Citizen Charter (Part 2),"special, business, permit"
258,City Mayor's Office - BPLS,cmo_special_business_permit,tl,Special permit para sa trade fair,"Ang mga panandaliang negosyo (tulad ng peryahan, trade fair, o seasonal stalls) ay nangangailangan ng **Special Business Permit**.

---
### 🎪 Proseso

**Steps:**
1. Isumite ang letter of intent sa Mayor na nagsasaad kung gaano katagal at anong klase ng negosyo.
2. Kumuha ng Barangay Clearance para sa aktibidad.
3. I-aassess ng BPLS at bibigyan ka ng Order of Payment.
4. Magbayad ng fee sa City Treasurer's Office.
5. Kunin ang Special Business Permit.

💰 **Bayad:** Kinukwenta kada araw/linggo base sa tax code.
⏱️ **Processing Time:** 1 hanggang 2 araw.",Citizen Charter (Part 2),"special, business, permit"
259,City Mayor's Office - BPLS,cmo_special_business_permit,bis,Unsaon pagkuha og permit para sa peryahan?,"Ang mga temporaryo nga negosyo (pareha sa peryahan, trade fair, o seasonal stalls) kay nanginahanglan og **Special Business Permit**.

---
### 🎪 Proseso

**Steps:**
1. Isumite ang letter of intent sa Mayor kung unsa kadugay ug unsa nga klase sa negosyo.
2. Pagkuha og Barangay Clearance para sa maong aktibidad.
3. I-assess sa BPLS ug hatagan ka og Order of Payment.
4. Pagbayad sa fee didto sa City Treasurer's Office.
5. Kuhaa ang Special Business Permit.

💰 **Bayad:** Kwentahon kada adlaw/semana base sa tax code.
⏱️ **Processing Time:** 1 hantod 2 ka adlaw.",Citizen Charter (Part 2),"special, business, permit"
